Group,Age,Page,Region,Parent,Family,Edu,Sex,Job,School,Play,Lesson,sleep,Beh,Hyp,Emo,Peer,Pro
1,4,45,24,2,3,3,2,0,5,0.5,0,8,1,3,0,0,3
1,8,40,28,2,4,3,2,0,5,0.214285714,0.428571429,10,1,4,1,0,9
1,9,35,24,2,3,2,1,5,5,0.107142857,0.107142857,9,1,4,0,3,6
1,5,43,14,2,3,3,1,0,5,0.428571429,0.214285714,10.5,3,5,2,1,6
1,5,34,23,2,4,4,1,5,5,0.5,0.214285714,11,1,4,0,3,4
1,5,43,23,2,3,5,1,0,5,2,0.5,11.5,2,2,3,6,0
1,7,28,23,1,3,4,1,5,5,0.428571429,0.214285714,9.5,2,2,3,3,5
1,7,36,36,2,3,4,2,0,5,0.107142857,1,9.5,1,2,2,1,5
1,8,45,28,2,3,4,2,5,5,1,0.5,9.5,1,4,0,1,8
1,4,40,18,2,4,4,1,5,5,0.107142857,0,9,5,8,2,2,1
1,7,38,33,1,3,5,1,5,5,0.107142857,1,8.5,1,2,0,1,8
1,7,45,13,2,3,4,2,0,5,0.214285714,0.071428571,8.5,1,2,0,0,7
1,7,33,27,2,5,3,1,0,5,0.107142857,0,9,1,6,5,3,3
1,9,36,38,2,3,3,1,5,5,1,0.107142857,9.5,2,7,3,1,8
1,5,42,28,2,4,4,1,5,5,0.107142857,0.214285714,9.5,1,2,1,1,3
1,5,44,14,2,4,4,1,5,5,0.428571429,0,10.5,2,4,0,2,2
1,9,42,12,2,3,3,1,0,5,0.142857143,0.214285714,9,2,8,1,2,10
1,4,43,13,2,3,4,1,0,5,0.5,0.107142857,10,1,4,1,2,5
1,8,37,13,1,5,4,1,5,5,1,0,9,3,6,5,3,7
1,4,44,11,2,4,3,1,0,5,0.107142857,0,9.5,0,2,0,2,8
1,5,42,1,2,5,4,1,5,5,1,0.214285714,10.5,6,8,0,1,8
1,6,44,22,2,4,2,1,5,5,0.642857143,2,7.5,1,2,2,1,8
1,5,41,37,1,3,4,2,5,5,0.5,0.071428571,10,1,2,2,0,7
